"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-5-25","76.26","78.22","78.50","75.10","237.72K","-2.68%"
"2023-5-24","78.36","77.70","78.66","77.03","285.99K","1.98%"
"2023-5-23","76.84","76.15","77.74","75.65","287.23K","1.12%"
"2023-5-22","75.99","75.63","76.46","74.55","241.96K","0.54%"
"2023-5-19","75.58","76.03","77.50","75.12","240.53K","-0.37%"
"2023-5-18","75.86","76.78","76.99","75.50","232.00K","-1.43%"
"2023-5-17","76.96","74.67","77.31","74.10","297.06K","2.74%"
"2023-5-16","74.91","75.55","75.95","74.50","216.20K","-0.43%"
"2023-5-15","75.23","74.15","75.75","73.49","240.52K","1.43%"
"2023-5-12","74.17","75.35","75.85","74.03","259.22K","-1.08%"
"2023-5-11","74.98","76.62","77.41","74.61","345.16K","-1.87%"
"2023-5-10","76.41","77.36","77.60","75.68","311.37K","-1.33%"
"2023-5-9","77.44","76.71","77.50","75.07","283.41K","0.56%"
"2023-5-8","77.01","75.23","77.43","74.95","185.75K","2.27%"
"2023-5-5","75.30","72.69","75.75","72.41","265.07K","3.86%"
"2023-5-4","72.50","71.28","73.72","71.28","362.23K","0.24%"
"2023-5-3","72.33","75.31","75.58","71.70","469.62K","-3.97%"
"2023-5-2","75.32","79.28","79.78","75.07","383.59K","-5.03%"
"2023-5-1","79.31","80.11","80.24","78.13","146.56K","-0.29%"
"2023-4-28","79.54","78.25","79.61","77.69","13.30K","1.49%"
"2023-4-27","78.37","77.77","78.61","77.39","104.39K","0.88%"
"2023-4-26","77.69","80.92","81.47","77.46","172.82K","-3.81%"
"2023-4-25","80.77","82.59","83.06","80.35","209.28K","-2.37%"
"2023-4-24","82.73","81.87","82.99","80.48","197.90K","1.31%"
"2023-4-21","81.66","80.79","82.05","80.45","196.85K","0.69%"
"2023-4-20","81.10","82.75","82.92","80.77","302.90K","-2.43%"
"2023-4-19","83.12","84.90","85.15","82.39","333.22K","-1.95%"
"2023-4-18","84.77","84.74","85.41","83.81","315.70K","0.01%"
"2023-4-17","84.76","86.43","86.52","84.34","261.81K","-1.80%"
"2023-4-14","86.31","86.18","86.87","85.53","262.58K","0.26%"
"2023-4-13","86.09","87.19","87.47","86.05","291.94K","-1.42%"
"2023-4-12","87.33","85.59","87.49","85.39","347.80K","2.01%"
"2023-4-11","85.61","84.24","85.67","83.75","262.67K","1.70%"
"2023-4-10","84.18","85.10","85.66","84.09","140.53K","-1.10%"
"2023-4-6","85.12","84.89","85.45","84.05","259.62K","0.15%"
"2023-4-5","84.99","85.22","85.54","84.01","246.48K","0.06%"
"2023-4-4","84.94","84.89","86.04","83.82","308.53K","0.01%"
"2023-4-3","84.93","86.00","86.44","83.50","478.31K","6.47%"
"2023-3-31","79.77","79.19","79.80","78.54","6.85K","0.63%"
"2023-3-30","79.27","78.23","79.55","77.86","62.92K","1.26%"
"2023-3-29","78.28","78.97","79.68","77.94","79.54K","-0.47%"
"2023-3-28","78.65","78.23","79.20","77.54","145.68K","0.68%"
"2023-3-27","78.12","75.00","78.42","74.80","146.95K","4.17%"
"2023-3-24","74.99","75.53","76.32","72.68","156.31K","-1.21%"
"2023-3-23","75.91","75.87","77.44","75.12","199.64K","-0.62%"
"2023-3-22","76.38","74.90","76.79","74.26","244.69K","1.80%"
"2023-3-21","75.03","73.44","75.12","72.62","297.90K","2.03%"
"2023-3-20","73.54","72.97","73.65","70.06","348.71K","1.06%"
"2023-3-17","72.77","74.30","75.59","71.38","477.37K","-2.05%"
"2023-3-16","74.29","73.85","75.12","71.49","306.20K","1.38%"
"2023-3-15","73.28","77.30","78.26","71.30","576.46K","-5.38%"
"2023-3-14","77.45","80.54","80.92","76.89","357.86K","-4.11%"
"2023-3-13","80.77","82.60","83.48","78.34","467.28K","-2.43%"
"2023-3-10","82.78","81.47","83.11","80.73","369.28K","1.46%"
"2023-3-9","81.59","82.55","84.00","81.42","282.56K","-1.29%"
"2023-3-8","82.66","83.03","83.59","82.06","297.09K","-0.76%"
"2023-3-7","83.29","86.23","86.75","82.83","295.19K","-3.35%"
"2023-3-6","86.18","85.83","86.35","84.34","244.34K","0.41%"
"2023-3-3","85.83","84.61","86.00","82.36","312.90K","1.27%"
"2023-3-2","84.75","84.31","85.10","83.83","214.22K","0.52%"
"2023-3-1","84.31","83.05","84.49","82.61","242.66K","0.50%"
"2023-2-28","83.89","82.30","84.15","82.19","12.30K","1.75%"
"2023-2-27","82.45","83.19","83.60","81.73","58.85K","-0.45%"
"2023-2-24","82.82","82.33","83.09","80.75","289.76K","1.06%"
"2023-2-23","81.95","80.31","82.46","80.25","293.33K","1.86%"
"2023-2-22","80.45","82.50","82.96","80.30","297.26K","-3.13%"
"2023-2-21","83.05","83.86","84.20","82.56","231.63K","-1.21%"
"2023-2-20","84.07","83.15","84.30","82.73","143.85K","1.29%"
"2023-2-17","83.00","84.60","84.87","81.80","303.66K","-2.51%"
"2023-2-16","85.14","85.27","86.21","84.60","197.02K","-0.28%"
"2023-2-15","85.38","85.20","85.85","83.88","245.98K","-0.23%"
"2023-2-14","85.58","85.83","86.42","84.13","231.63K","-1.19%"
"2023-2-13","86.61","86.51","86.95","85.10","207.62K","0.25%"
"2023-2-10","86.39","84.22","86.90","83.93","297.34K","2.24%"
"2023-2-9","84.50","84.96","85.50","83.05","260.73K","-0.69%"
"2023-2-8","85.09","84.11","85.15","83.51","254.14K","1.67%"
"2023-2-7","83.69","81.26","84.13","81.19","290.98K","3.33%"
"2023-2-6","80.99","79.61","81.43","79.10","325.21K","1.31%"
"2023-2-3","79.94","82.27","84.20","79.62","330.32K","-2.71%"
"2023-2-2","82.17","83.34","83.61","81.25","287.09K","-0.81%"
"2023-2-1","82.84","85.56","86.21","82.37","348.66K","-1.95%"
"2023-1-31","84.49","85.18","85.25","83.73","11.89K","-0.48%"
"2023-1-30","84.90","86.88","87.48","84.66","65.55K","-2.03%"
"2023-1-27","86.66","87.65","88.95","85.69","107.08K","-0.93%"
"2023-1-26","87.47","86.35","88.01","85.74","139.10K","1.57%"
"2023-1-25","86.12","86.28","87.00","85.41","159.47K","-0.01%"
"2023-1-24","86.13","88.07","88.71","85.80","207.75K","-2.34%"
"2023-1-23","88.19","87.70","89.09","86.92","192.41K","0.64%"
"2023-1-20","87.63","86.42","87.79","85.58","212.92K","1.71%"
